timestamp,job_id,original_file,optimized_file,original_total_distance,optimized_total_distance,percent_improvement,status,method,notes
2026-07-11T18:40:09.057889,1-inch-square_no-opt_20260711_184007,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,no-opt,
2026-07-11T18:40:09.057889,1-inch-square_nn2opt_20260711_184007,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,nn2opt,
2026-07-11T18:40:09.057889,1-inch-square_insertion_20260711_184007,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,insertion,
2026-07-11T18:40:09.059899,1-inch-square_christofides_20260711_184008,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,christofides,
2026-07-11T18:40:09.059899,1-inch-square_sa_20260711_184008,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,sa,
2026-07-11T18:40:09.059899,1-inch-square_genetic_20260711_184008,1-inch-square,1-inch-square_optimized,0.0,0.0,0.00%,success,genetic,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_no-opt_20260711_184007,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,90.9,0.00%,success,no-opt,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_nn2opt_20260711_184007,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,24.4,73.16%,success,nn2opt,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_insertion_20260711_184008,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,18.3,79.87%,success,insertion,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_christofides_20260711_184008,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,70.7,22.23%,success,christofides,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_sa_20260711_184009,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,24.4,73.16%,success,sa,
2026-07-11T18:40:10.471643,test_rect_grid13sheet0_genetic_20260711_184009,test_rect_grid13sheet0,test_rect_grid13sheet0_optimized,90.9,24.4,73.16%,success,genetic,
2026-07-11T18:40:19.282845,1x3 half inch letters holes1_no-opt_20260711_184008,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,563.7,0.00%,success,no-opt,
2026-07-11T18:40:19.282845,1x3 half inch letters holes1_nn2opt_20260711_184009,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,159.0,71.79%,success,nn2opt,
2026-07-11T18:40:19.282845,1x3 half inch letters holes1_insertion_20260711_184010,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,231.2,58.98%,success,insertion,
2026-07-11T18:40:19.288794,1x3 half inch letters holes1_christofides_20260711_184014,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,447.6,20.59%,success,christofides,
2026-07-11T18:40:19.288794,1x3 half inch letters holes1_sa_20260711_184015,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,171.3,69.60%,success,sa,
2026-07-11T18:40:19.288794,1x3 half inch letters holes1_genetic_20260711_184017,1x3 half inch letters holes1,1x3 half inch letters holes1_optimized,563.7,171.3,69.60%,success,genetic,
2026-07-11T18:40:39.495623,334X712 RED DANGER conveyers start and stop2_no-opt_20260711_184014,334X712 RED DANGER conveyers start and stop2,334X712 RED DANGER conveyers start and stop2_optimized,346.9,346.9,0.00%,success,no-opt,
2026-07-11T18:40:39.497631,334X712 RED DANGER conveyers start and stop2_nn2opt_20260711_184018,334X712 RED DANGER conveyers start and stop2,334X712 RED DANGER conveyers start and stop2_optimized,346.9,241.8,30.28%,success,nn2opt,
2026-07-11T18:40:39.497631,334X712 RED DANGER conveyers start and stop2_insertion_20260711_184022,334X712 RED DANGER conveyers start and stop2,334X712 RED DANGER conveyers start and stop2_optimized,346.9,249.7,28.02%,success,insertion,
2026-07-11T18:40:39.497631,334X712 RED DANGER conveyers start and stop2_christofides_20260711_184026,334X712 RED DANGER conveyers start and stop2,334X712 RED DANGER conveyers start and stop2_optimized,346.9,259.1,25.29%,success,christofides,
